EmployeeID,Employee_Name,Gender,BusinessTravel,Department,DistanceFromHome KM,State,Ethnicity,Education,EducationField,JobRole,MaritalStatus,StockOptionLevel,OverTime,HireDate,Attrition,YearsAtCompany,YearsInMostRecentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age,Age_Group,Full_State_Name,Salary,Salary_Bin,EducationLevel
11AE-3E4D,Sheffie Tonkin,Male,Some Travel,Sales,38,CA,Mixed or multiple ethnic groups,2,Technical Degree,Manager,Married,1,TRUE,19/02/2012,FALSE,10,7,7,10,39,39-45,California,300299,300k-500k,High School 
BC20-368E,Flem Simenon,Male,Some Travel,Sales,37,NY,White,3,Marketing,Manager,Married,1,TRUE,6/07/2021,FALSE,1,0,0,1,39,39-45,New York,265712,150k-300k,Bachelors 
CC1D-5D73,Tillie Cregin,Female,No Travel ,Sales,9,CA,White,3,Marketing ,Manager,Single,0,FALSE,25/04/2020,FALSE,2,2,2,1,40,39-45,California,254535,150k-300k,Bachelors 
7EF0-2BF4,Ulrike Seakes,Female,Some Travel,Sales,5,NY,White,4,Marketing ,Manager,Married,0,FALSE,10/04/2019,FALSE,3,3,3,0,40,39-45,New York,267834,150k-300k,Masters 
AFDF-3DA8,Mikkel Fosdyke,Male,Some Travel,Sales,35,NY,White,1,Marketing,Manager,Married,1,FALSE,23/05/2021,TRUE,0,0,0,0,41,39-45,New York,314961,300k-500k,No Formal Qualifications
AB4A-E71A,Theodor Smaleman,Male,Some Travel,Sales,3,IL,White,3,Marketing,Manager,Married,1,TRUE,5/09/2013,FALSE,9,3,3,7,43,39-45,Illinois,429939,300k-500k,Bachelors 
4294-03D1,Lettie D'Emanuele,Female,Some Travel,Sales,12,CA,White,4,Marketing ,Manager,Married,0,FALSE,30/06/2016,FALSE,6,1,3,1,43,39-45,California,513262,Above 500k,Masters 
781F-6C21,Eugenio Sempill,Male,Frequent Traveller,Sales,21,NY,White,3,Marketing ,Manager,Divorced,1,TRUE,25/02/2020,FALSE,2,1,1,1,43,39-45,New York,327587,300k-500k,Bachelors 
AB03-8820,Daryle Boarder,Male,Some Travel,Sales,3,IL,Mixed or multiple ethnic groups,1,Economics,Manager,Married,1,FALSE,28/03/2013,FALSE,9,5,9,2,43,39-45,Illinois,313198,300k-500k,No Formal Qualifications
2E72-4BF1,Grace Gohier,Male,Some Travel,Sales,21,CA,White,3,Marketing,Manager,Married,0,FALSE,7/02/2012,FALSE,10,4,5,4,44,39-45,California,426142,300k-500k,Bachelors 
07B2-D67A,Rossie Everleigh,Male,Some Travel,Sales,40,NY,White,2,Economics,Manager,Divorced,1,FALSE,30/01/2012,FALSE,10,6,8,4,44,39-45,New York,285620,150k-300k,High School 
82B4-8569,Adrian Swatman,Male,Some Travel,Sales,44,CA,Mixed or multiple ethnic groups,3,Marketing,Manager,Divorced,1,FALSE,23/12/2018,FALSE,4,4,4,3,44,39-45,California,313891,300k-500k,Bachelors 
3D47-6A75,Burch Albers,Male,Some Travel,Sales,20,CA,White,3,Marketing ,Manager,Married,1,FALSE,30/04/2021,FALSE,1,1,1,1,45,39-45,California,374781,300k-500k,Bachelors 
13E5-8466,Cody Tipple,Female,Some Travel,Sales,14,NY,White,4,Marketing ,Manager,Single,0,FALSE,6/12/2014,FALSE,8,2,5,8,47,46-51,New York,410970,300k-500k,Masters 
6965-C170,Joya Hefford,Female,Some Travel,Sales,32,NY,White,3,Technical Degree,Manager,Married,1,TRUE,18/04/2013,FALSE,9,1,2,9,48,46-51,New York,354336,300k-500k,Bachelors 
B140-AF36,Marjy Matveyev,Female,Some Travel,Human Resources,22,CA,White,3,Marketing ,Recruiter,Single,1,FALSE,4/09/2022,FALSE,0,0,0,0,18,18-24,California,31024,Under 50k,Bachelors 
9C97-B634,Hyacinthie Diperaus,Female,Some Travel,Human Resources,20,NY,White,2,Economics,Recruiter,Single,0,FALSE,24/10/2022,FALSE,0,0,0,0,19,18-24,New York,21026,Under 50k,High School 
F469-0427,Krissie Albery,Female,Frequent Traveller,Human Resources,31,NY,White,4,Marketing ,Recruiter,Single,1,TRUE,20/02/2022,TRUE,0,0,0,0,19,18-24,New York,36832,Under 50k,Masters 
B0C8-E3DF,Eleanor Escalero,Female,Frequent Traveller,Human Resources,24,IL,White,3,Economics,Recruiter,Married,1,FALSE,6/05/2021,FALSE,1,0,0,0,19,18-24,Illinois,25838,Under 50k,Bachelors 
14CF-051D,Prent Salkeld,Male,Some Travel,Human Resources,18,NY,White,4,Economics,Recruiter,Single,0,FALSE,24/05/2022,FALSE,0,0,0,0,19,18-24,New York,20778,Under 50k,Masters 
AFA8-5058,Dame Andrzejewski,Male,Some Travel,Human Resources,8,CA,White,4,Human Resources,Recruiter,Divorced,0,TRUE,6/03/2020,TRUE,2,0,0,0,20,18-24,California,26186,Under 50k,Masters 
D676-2084,Shannon Kuhnel,Male,Some Travel,Human Resources,41,NY,White,2,Economics,Recruiter,Single,0,FALSE,20/06/2020,FALSE,2,0,1,0,21,18-24,New York,20583,Under 50k,High School 
CA1B-0302,Hestia Pickin,Female,Some Travel,Human Resources,11,NY,White,3,Marketing ,Recruiter,Married,0,FALSE,10/12/2020,FALSE,2,2,2,1,22,18-24,New York,26880,Under 50k,Bachelors 
B76C-D9CE,Mada Moss,Female,Some Travel,Human Resources,7,NY,White,2,Economics,Recruiter,Married,0,TRUE,31/01/2021,TRUE,1,0,0,0,22,18-24,New York,29322,Under 50k,High School 
FFCF-0BD5,Sky Mattioni,Prefer Not To Say,Some Travel,Human Resources,42,CA,Black or African American,1,Marketing ,Recruiter,Married,1,FALSE,25/06/2017,FALSE,5,5,5,5,23,18-24,California,30683,Under 50k,No Formal Qualifications
DD1E-583D,Ashton Lauga,Male,Some Travel,Human Resources,36,IL,Mixed or multiple ethnic groups,3,Human Resources,Recruiter,Married,0,FALSE,2/03/2017,FALSE,5,5,5,0,24,18-24,Illinois,29428,Under 50k,Bachelors 
F5E3-48BB,Zenia Rattery,Female,Frequent Traveller,Human Resources,3,CA,American Indian or Alaska Native,3,Human Resources,Recruiter,Married,0,FALSE,13/01/2015,TRUE,3,0,2,1,25,25-31,California,23547,Under 50k,Bachelors 
4D59-B831,Nell Teague,Female,Some Travel,Human Resources,14,CA,Other ,1,Human Resources,Recruiter,Married,1,FALSE,25/06/2018,TRUE,2,0,1,1,25,25-31,California,22150,Under 50k,No Formal Qualifications
B6EC-313E,Corbin Gooddy,Male,Frequent Traveller,Human Resources,17,CA,Mixed or multiple ethnic groups,3,Human Resources,Recruiter,Divorced,1,FALSE,9/08/2014,TRUE,0,0,0,0,26,25-31,California,30502,Under 50k,Bachelors 
388D-DB68,Maybelle Hurler,Female,Some Travel,Human Resources,40,CA,White,3,Human Resources,Recruiter,Married,1,FALSE,7/06/2015,FALSE,7,5,6,5,27,25-31,California,34320,Under 50k,Bachelors 
42CC-040A,Stace Savege,Female,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,0,FALSE,5/01/2012,TRUE,6,1,1,6,29,25-31,California,49606,Under 50k,High School 
8D34-EBDF,Giles Bilham,Male,Some Travel,Human Resources,14,IL,Native Hawaiian ,4,Technical Degree,Recruiter,Married,0,FALSE,31/07/2014,TRUE,0,0,0,0,29,25-31,Illinois,46703,Under 50k,Masters 
BFF3-AADC,Collen Sedman,Female,No Travel ,Human Resources,25,NY,American Indian or Alaska Native,2,Marketing ,Recruiter,Divorced,1,FALSE,25/01/2012,FALSE,10,0,2,0,31,25-31,New York,55682,Unknown,High School 
C395-8C36,Curcio Franek,Male,Some Travel,Human Resources,3,CA,Mixed or multiple ethnic groups,1,Technical Degree,Recruiter,Divorced,1,TRUE,19/01/2012,FALSE,10,2,3,7,33,32-38,California,53616,Unknown,No Formal Qualifications
8233-2483,Sheba McCromley,Female,Some Travel,Human Resources,7,CA,Mixed or multiple ethnic groups,3,Marketing ,Recruiter,Divorced,3,TRUE,12/03/2012,FALSE,10,5,6,3,35,32-38,California,47995,Under 50k,Bachelors 
D584-4E31,Patrica Lamyman,Female,Some Travel,Human Resources,22,CA,Mixed or multiple ethnic groups,1,Economics,Recruiter,Married,0,FALSE,22/02/2012,FALSE,10,8,8,2,35,32-38,California,67264,Unknown,No Formal Qualifications
D6A7-EF72,Kalie Swancott,Female,Some Travel,Human Resources,7,CA,White,4,Technical Degree,Recruiter,Single,0,FALSE,4/12/2013,FALSE,9,0,9,7,40,39-45,California,70703,Unknown,Masters 
B3AF-7E58,Elvira Ianelli,Female,Some Travel,Human Resources,34,NY,Black or African American,2,Human Resources,Recruiter,Divorced,1,TRUE,20/01/2012,FALSE,10,10,10,10,45,39-45,New York,54132,Unknown,High School 
8EE9-E86D,Conn Mouser,Male,Some Travel,Human Resources,45,IL,White,3,Human Resources,Recruiter,Divorced,3,TRUE,20/05/2012,TRUE,10,8,9,6,46,46-51,Illinois,48740,Under 50k,Bachelors 
3DBF-E552,Stavro Aird,Male,No Travel ,Human Resources,22,NY,White,4,Human Resources,HR Manager,Married,1,FALSE,12/10/2021,FALSE,1,1,1,0,49,46-51,New York,509261,Above 500k,Masters 
6227-9D9E,Malina Chivrall,Female,Some Travel,Human Resources,5,CA,Mixed or multiple ethnic groups,4,Human Resources,HR Manager,Married,1,TRUE,25/01/2015,FALSE,7,7,7,1,26,25-31,California,315071,300k-500k,Masters 
5639-70C0,Trudi Evens,Female,Some Travel,Human Resources,31,IL,Black or African American,4,Human Resources,HR Manager,Divorced,3,FALSE,15/01/2018,FALSE,4,4,4,2,36,32-38,Illinois,509940,Above 500k,Masters 
9DFE-1FD5,Angel Hazeup,Male,Some Travel,Human Resources,4,IL,Black or African American,3,Human Resources,HR Manager,Married,1,FALSE,1/03/2012,FALSE,10,0,10,7,42,39-45,Illinois,463051,300k-500k,Bachelors 
81C2-E188,Nada Finlator,Female,Some Travel,Human Resources,1,CA,White,3,Human Resources,HR Executive,Single,1,FALSE,9/03/2021,FALSE,1,1,1,0,19,18-24,California,41958,Under 50k,Bachelors 
5F99-4E0B,Marcos Bowcher,Non-Binary,Some Travel,Human Resources,33,NY,White,2,Economics,HR Executive,Divorced,1,TRUE,7/11/2021,FALSE,1,0,0,1,21,18-24,New York,70809,Unknown,High School 
0CFA-28A3,Duff Rioch,Male,Frequent Traveller,Human Resources,42,CA,Black or African American,4,Other,HR Executive,Married,1,TRUE,13/08/2019,FALSE,3,2,2,2,21,18-24,California,42303,Under 50k,Masters 
55A7-8D82,Allyn Glyde,Non-Binary,Frequent Traveller,Human Resources,34,NY,White,4,Human Resources,HR Executive,Married,0,FALSE,26/09/2020,FALSE,2,0,0,2,23,18-24,New York,75948,Unknown,Masters 
F8D4-3CAB,Lynda Robken,Non-Binary,Some Travel,Human Resources,45,CA,White,3,Marketing ,HR Executive,Married,2,FALSE,25/05/2018,FALSE,4,3,4,2,23,18-24,California,99052,Unknown,Bachelors 
1D32-9620,Eldredge Probyn,Male,Some Travel,Human Resources,39,CA,Other ,2,Human Resources,HR Executive,Married,1,FALSE,29/10/2017,FALSE,5,3,3,1,23,18-24,California,55805,Unknown,High School 
7749-B277,Caryl Roycroft,Male,Some Travel,Human Resources,1,IL,Mixed or multiple ethnic groups,5,Human Resources,HR Executive,Married,0,FALSE,25/04/2017,TRUE,4,3,3,2,24,18-24,Illinois,44634,Under 50k,Doctorate
BEBB-3E92,Flinn Redferne,Male,Frequent Traveller,Human Resources,17,CA,White,5,Human Resources,HR Executive,Single,0,TRUE,4/01/2022,FALSE,0,0,0,0,24,18-24,California,93008,Unknown,Doctorate
B375-26A9,Teressa Attewell,Female,No Travel ,Human Resources,5,NY,Asian or Asian American,3,Human Resources,HR Executive,Divorced,3,FALSE,3/09/2018,FALSE,4,2,4,0,24,18-24,New York,41745,Under 50k,Bachelors 
74F3-DF3D,Lian Ouslem,Female,Some Travel,Human Resources,22,NY,Black or African American,2,Economics,HR Executive,Divorced,1,FALSE,30/05/2015,FALSE,7,2,6,2,25,25-31,New York,49131,Under 50k,High School 
DD04-BDF8,Kile Notton,Male,Some Travel,Human Resources,44,CA,Black or African American,4,Economics,HR Executive,Married,1,FALSE,23/04/2017,FALSE,5,5,5,0,25,25-31,California,132102,Unknown,Masters 
F1B6-31B7,Idette Connett,Female,Some Travel,Human Resources,31,CA,Mixed or multiple ethnic groups,3,Marketing ,HR Executive,Married,2,FALSE,28/04/2018,FALSE,4,2,4,4,25,25-31,California,48797,Under 50k,Bachelors 
89A6-7EF1,Johan Rudinger,Male,Some Travel,Human Resources,11,NY,Asian or Asian American,3,Other,HR Executive,Single,0,FALSE,11/07/2016,FALSE,6,5,6,2,26,25-31,New York,70395,Unknown,Bachelors 
2EB9-9D31,Cybill Mitkin,Female,No Travel ,Human Resources,4,CA,White,3,Human Resources,HR Executive,Married,1,FALSE,10/07/2021,FALSE,1,1,1,1,27,25-31,California,78265,Unknown,Bachelors 
6413-42F1,Gui Olivello,Female,Some Travel,Human Resources,24,CA,Mixed or multiple ethnic groups,2,Other,HR Executive,Divorced,0,FALSE,13/07/2016,FALSE,6,1,3,4,27,25-31,California,55206,Unknown,High School 
4DA0-81D7,Cole Vost,Male,Some Travel,Human Resources,34,CA,Asian or Asian American,2,Marketing ,HR Executive,Single,0,FALSE,11/05/2013,FALSE,9,3,3,1,28,25-31,California,94534,Unknown,High School 
5A29-B9F4,Nicoli Shavel,Female,Some Travel,Human Resources,14,CA,White,4,Marketing ,HR Executive,Single,0,FALSE,2/01/2020,FALSE,2,0,1,1,28,25-31,California,149734,Unknown,Masters 
EC4D-D0F3,Camilla Caistor,Female,Some Travel,Human Resources,31,NY,White,3,Human Resources,HR Executive,Married,1,FALSE,12/11/2020,FALSE,2,1,2,0,28,25-31,New York,96807,Unknown,Bachelors 
4A0E-3728,Nancy Summerton,Female,No Travel ,Human Resources,4,IL,White,5,Economics,HR Executive,Married,1,FALSE,15/02/2019,FALSE,3,1,3,2,28,25-31,Illinois,152909,150k-300k,Doctorate
9169-FC4B,Reinaldos Baynes,Male,Some Travel,Human Resources,18,CA,Native Hawaiian ,2,Economics,HR Executive,Married,1,FALSE,9/05/2012,TRUE,1,0,0,1,28,25-31,California,179561,150k-300k,High School 
F45B-1442,Eddy Dallaway,Male,Some Travel,Human Resources,41,NY,White,3,Human Resources,HR Executive,Married,0,TRUE,16/07/2022,FALSE,0,0,0,0,29,25-31,New York,142773,Unknown,Bachelors 
E8F5-C47D,Jayne Mickleburgh,Female,Some Travel,Human Resources,19,NY,Mixed or multiple ethnic groups,3,Human Resources,HR Executive,Married,1,FALSE,25/03/2012,FALSE,10,5,6,9,30,25-31,New York,97153,Unknown,Bachelors 
1D35-190A,Carena Devita,Female,Some Travel,Human Resources,18,CA,Asian or Asian American,4,Marketing ,HR Executive,Single,0,TRUE,22/09/2013,FALSE,9,1,6,9,35,32-38,California,132563,Unknown,Masters 
63BF-A86A,Ava Galland,Female,Frequent Traveller,Human Resources,16,CA,White,3,Human Resources,HR Executive,Single,3,TRUE,12/10/2022,TRUE,0,0,0,0,39,39-45,California,201564,150k-300k,Bachelors 
205B-4D34,Cris Jeram,Male,Frequent Traveller,Human Resources,39,CA,Mixed or multiple ethnic groups,1,Human Resources,HR Executive,Single,0,FALSE,29/06/2014,FALSE,8,5,5,8,41,39-45,California,79990,Unknown,No Formal Qualifications
BAF9-933D,Pauly Gero,Male,Some Travel,Human Resources,36,CA,White,3,Human Resources,HR Executive,Married,0,FALSE,23/12/2014,FALSE,8,4,4,7,41,39-45,California,131047,Unknown,Bachelors 
79F3-8AA5,Lacy Domerc,Female,Some Travel,Human Resources,21,NY,Mixed or multiple ethnic groups,3,Marketing ,HR Executive,Single,0,FALSE,14/02/2012,FALSE,10,5,10,4,47,46-51,New York,98608,Unknown,Bachelors 
59DB-8465,Nancey Luetkemeyers,Female,Frequent Traveller,Human Resources,3,CA,White,3,Marketing ,HR Executive,Married,2,FALSE,2/03/2013,FALSE,9,0,9,8,47,46-51,California,85744,Unknown,Bachelors 
CE3C-15A7,Flori Ballham,Female,Some Travel,Technology,15,NY,White,4,Information Systems,Data Scientist,Single,1,FALSE,14/10/2022,FALSE,0,0,0,0,18,18-24,New York,58262,Unknown,Masters 
E681-7B57,Durant Ratley,Male,Frequent Traveller,Technology,26,CA,White,2,Information Systems,Data Scientist,Single,0,FALSE,22/05/2022,TRUE,0,0,0,0,18,18-24,California,31532,Under 50k,High School 
64C2-2806,Gareth Oleksiak,Male,Some Travel,Technology,35,CA,White,5,Other,Data Scientist,Single,0,FALSE,20/03/2022,FALSE,0,0,0,0,18,18-24,California,36353,Under 50k,Doctorate
FF42-EA28,Madella Worham,Female,Some Travel,Technology,14,IL,Black or African American,1,Computer Science,Data Scientist,Single,1,FALSE,13/11/2022,FALSE,0,0,0,0,18,18-24,Illinois,28246,Under 50k,No Formal Qualifications
5021-423E,Standford Dodshun,Male,Frequent Traveller,Technology,25,NY,White,4,Information Systems,Data Scientist,Single,0,FALSE,28/09/2022,FALSE,0,0,0,0,18,18-24,New York,72639,Unknown,Masters 
7985-EB3D,Mathew O'Dougherty,Male,Some Travel,Technology,2,IL,White,2,Information Systems,Data Scientist,Single,1,FALSE,9/12/2021,FALSE,1,1,1,0,19,18-24,Illinois,52260,Unknown,High School 
85B2-41F5,Tessa De Cristoforo,Prefer Not To Say,Some Travel,Technology,35,NY,Black or African American,3,Information Systems,Data Scientist,Single,1,FALSE,15/12/2022,FALSE,0,0,0,0,19,18-24,New York,39722,Under 50k,Bachelors 
ECD4-3FF7,Kenyon Fawltey,Male,Some Travel,Technology,15,CA,White,3,Computer Science,Data Scientist,Single,1,TRUE,31/05/2022,FALSE,0,0,0,0,19,18-24,California,58408,Unknown,Bachelors 
DB6C-3B2F,Yelena Paskerful,Female,Some Travel,Technology,43,CA,White,3,Information Systems,Data Scientist,Single,1,FALSE,18/07/2022,TRUE,0,0,0,0,19,18-24,California,49006,Under 50k,Bachelors 
6A3B-A838,Moss Standeven,Non-Binary,Some Travel,Technology,16,CA,White,4,Information Systems,Data Scientist,Single,1,FALSE,20/08/2021,FALSE,1,1,1,0,19,18-24,California,41092,Under 50k,Masters 
1053-41B1,Andy Lingwood,Female,Some Travel,Technology,24,CA,White,2,Computer Science,Data Scientist,Single,1,FALSE,16/06/2021,FALSE,1,1,1,0,19,18-24,California,31014,Under 50k,High School 
D92F-63AD,Gabey Whitloe,Female,Frequent Traveller,Technology,45,CA,White,3,Computer Science,Data Scientist,Single,0,FALSE,22/04/2021,FALSE,1,1,1,1,19,18-24,California,32322,Under 50k,Bachelors 
3BAB-C57E,Hashim Payn,Male,Some Travel,Technology,28,CA,White,3,Information Systems,Data Scientist,Single,3,TRUE,30/06/2021,FALSE,1,1,1,1,19,18-24,California,26062,Under 50k,Bachelors 
CB16-C876,April Beckwith,Female,Some Travel,Technology,2,CA,Black or African American,3,Computer Science,Data Scientist,Single,0,FALSE,11/12/2022,FALSE,0,0,0,0,19,18-24,California,26973,Under 50k,Bachelors 
619D-D78F,Leesa Gauford,Female,Some Travel,Technology,24,NY,White,2,Business Studies,Data Scientist,Single,0,FALSE,29/08/2020,FALSE,2,2,2,1,20,18-24,New York,38138,Under 50k,High School 
EC6A-DD76,Meade Malthouse,Female,Frequent Traveller,Technology,31,NY,White,3,Information Systems,Data Scientist,Single,0,FALSE,13/09/2021,TRUE,0,0,0,0,20,18-24,New York,37361,Under 50k,Bachelors 
812D-7475,Lucius Plimmer,Male,Some Travel,Technology,29,CA,White,1,Computer Science,Data Scientist,Married,1,FALSE,8/03/2022,FALSE,0,0,0,0,20,18-24,California,20526,Under 50k,No Formal Qualifications
72D8-2284,Othelia Tumber,Female,Some Travel,Technology,41,IL,White,3,Computer Science,Data Scientist,Divorced,1,FALSE,11/10/2020,FALSE,2,1,1,1,20,18-24,Illinois,40701,Under 50k,Bachelors 
7B84-8387,Richardo Lowres,Male,Some Travel,Technology,4,CA,White,4,Information Systems,Data Scientist,Single,0,FALSE,24/06/2022,FALSE,0,0,0,0,20,18-24,California,34954,Under 50k,Masters 
84D4-D4C3,Naoma Hebbard,Female,No Travel ,Technology,28,CA,Black or African American,2,Computer Science,Data Scientist,Married,0,FALSE,31/12/2022,FALSE,0,0,0,0,20,18-24,California,38258,Under 50k,High School 
4795-4D3F,Tammy Flaws,Male,Some Travel,Technology,18,CA,White,4,Computer Science,Data Scientist,Married,1,TRUE,27/04/2022,FALSE,0,0,0,0,20,18-24,California,28544,Under 50k,Masters 
E8D3-CABA,Georg Nunnery,Male,Some Travel,Technology,37,CA,White,4,Computer Science,Data Scientist,Married,2,FALSE,27/02/2020,FALSE,2,2,2,1,20,18-24,California,35654,Under 50k,Masters 
217C-7180,Hale Patty,Male,Some Travel,Technology,27,IL,White,1,Business Studies,Data Scientist,Single,0,FALSE,15/05/2021,FALSE,1,1,1,1,20,18-24,Illinois,27141,Under 50k,No Formal Qualifications
0B49-32CD,Nettle Manwaring,Female,Some Travel,Technology,30,CA,White,2,Information Systems,Data Scientist,Divorced,1,FALSE,4/11/2020,FALSE,2,0,0,0,20,18-24,California,41179,Under 50k,High School 
611A-F218,Kenna Dougary,Female,Some Travel,Technology,32,IL,White,2,Information Systems,Data Scientist,Divorced,1,FALSE,19/10/2022,FALSE,0,0,0,0,20,18-24,Illinois,24504,Under 50k,High School 
4049-CF88,Jose Davydzenko,Male,Some Travel,Technology,25,NY,White,4,Information Systems,Data Scientist,Married,1,TRUE,18/04/2020,FALSE,2,1,1,2,20,18-24,New York,40341,Under 50k,Masters 
054A-0B94,Temp Weyland,Male,No Travel ,Technology,11,IL,White,3,Computer Science,Data Scientist,Married,2,FALSE,14/11/2021,FALSE,1,1,1,0,20,18-24,Illinois,26702,Under 50k,Bachelors 
380E-44B4,Esdras Hallitt,Male,Some Travel,Technology,19,IL,White,4,Computer Science,Data Scientist,Single,0,FALSE,1/08/2022,TRUE,0,0,0,0,21,18-24,Illinois,25255,Under 50k,Masters 
6DEB-F440,Viviene Vanezis,Non-Binary,Some Travel,Technology,41,CA,Black or African American,3,Computer Science,Data Scientist,Single,0,TRUE,22/06/2019,TRUE,3,0,0,2,21,18-24,California,29793,Under 50k,Bachelors 
7CFC-C4DA,Brant Damper,Male,Some Travel,Technology,44,CA,White,2,Other,Data Scientist,Single,0,TRUE,20/04/2022,TRUE,0,0,0,0,21,18-24,California,32676,Under 50k,High School 
C4F7-E118,Brit Seine,Female,Frequent Traveller,Technology,27,NY,White,3,Information Systems,Data Scientist,Divorced,2,FALSE,24/08/2022,FALSE,0,0,0,0,21,18-24,New York,72355,Unknown,Bachelors 
91C6-564B,Thain Pedri,Male,Some Travel,Technology,7,CA,White,3,Computer Science,Data Scientist,Married,1,FALSE,9/10/2019,FALSE,3,3,3,1,21,18-24,California,40561,Under 50k,Bachelors 
